source,target,category,status,source_host
/,/da/,root,configured,
/{lang}/roi/calculator/results/,/{lang}/roi/calculator/,runtime,configured,
/arbejdsstationer/,/da/moduler/space-management/,bare-path,configured,
/book-en-demo/,/da/kontakt/book-demo/,bare-path,configured,
/cafm/,/da/brancher/fm-companies/,bare-path,configured,
/case-kategori/indeklima/,/da/case-studies/,bare-path,configured,
/case-kategori/space-management/,/da/case-studies/,bare-path,configured,
/case/archdiocese-of-freiburg/,/da/case-studies/archdiocese-of-freiburg/,legacy-case-singular,configured,
/case/boligselskabet-sjaelland/,/da/case-studies/boligselskabet-sjaelland/,legacy-case-singular,configured,
/case/dansk-industri/,/da/case-studies/dansk-industri/,legacy-case-singular,configured,
/case/data-skal-dimensionere-nyt-raadhus-rigtigt/,/da/case-studies/gribskov-kommune/,legacy-case-singular,configured,
/case/deutches-museum-nordschleswig/,/da/case-studies/deutsches-museum-nordschleswig/,legacy-case-singular,configured,
/case/deutsches-museum-nordschleswig/,/da/case-studies/deutsches-museum-nordschleswig/,legacy-case-singular,configured,
/case/erzdioezese-freiburg/,/da/case-studies/archdiocese-of-freiburg/,legacy-case-singular,configured,
/case/evangelische-kirche-in-hessen-und-nassau/,/da/case-studies/evangelische-kirche-in-hessen-und-nassau/,legacy-case-singular,configured,
/case/faaborg-museum/,/da/case-studies/faaborg-museum/,legacy-case-singular,configured,
/case/gribskov-kommune-indoor-climate/,/da/case-studies/gribskov-kommune-indoor-climate/,legacy-case-singular,configured,
/case/gribskov-kommune/,/da/case-studies/gribskov-kommune/,legacy-case-singular,configured,
/case/hj-energi/,/da/case-studies/hj-energi/,legacy-case-singular,configured,
/case/holbaek-kommune/,/da/case-studies/holbaek-kommune/,legacy-case-singular,configured,
/case/kommune-norddjurs/,/da/case-studies/norddjurs-kommune/,legacy-case-singular,configured,
/case/kommune-varde/,/da/case-studies/varde-kommune/,legacy-case-singular,configured,
/case/norddjurs-kommun/,/da/case-studies/norddjurs-kommune/,legacy-case-singular,configured,
/case/norddjurs-kommune/,/da/case-studies/norddjurs-kommune/,legacy-case-singular,configured,
/case/rudersdal-museer/,/da/case-studies/rudersdal-museer/,legacy-case-singular,configured,
/case/skade-teknik/,/da/case-studies/skade-teknik/,legacy-case-singular,configured,
/case/solroed-kommune/,/da/case-studies/solroed-kommune/,legacy-case-singular,configured,
/case/sweco-6/,/da/case-studies/sweco/,legacy-case-singular,configured,
/case/sweco/,/da/case-studies/sweco/,legacy-case-singular,configured,
/case/varde-kommun/,/da/case-studies/varde-kommune/,legacy-case-singular,configured,
/case/varde-kommune-3/,/da/case-studies/varde-kommune/,legacy-case-singular,configured,
/case/varde-kommune/,/da/case-studies/varde-kommune/,legacy-case-singular,configured,
/case/vejen-kommune/,/da/case-studies/vejen-kommune/,legacy-case-singular,configured,
